"","station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"1021","apacpnut",2004,7,0.001,0.058,0.006,0.061,0.067,4.15,1,0,0,0,0,0
"1022","apacpnut",2004,8,0.001,0.01,0.002,NA,0.0235,6.1,1,0,1,NA,0,0
"1023","apacpnut",2004,9,0.003,0.0465,0.012,0.1095,0.1215,17.3,0,0,0,0,0,0
"1024","apacpnut",2004,10,NA,0.048,0.0115,0.043,0.0545,4.3,NA,0,0,0,0,0
"1025","apacpnut",2004,11,0.0045,0.01825,0.00825,0.1095,0.11775,0.65,0,0,0,0,0,1
"1026","apacpnut",2005,1,0.004,0.0275,0.002,0.014,0.0175,1.6,0,0,1,0,0,0
"1027","apacpnut",2005,2,0.001,0.0185,0.012,0.008,0.018,1.495,0,0,0,0,0,0
"1028","apacpnut",2005,3,0.001,0.0065,0.021,0.182,0.203,0.74,0,0,0,0,0,1
"1029","apacpnut",2005,4,0.005,0.0465,0.024,0.245,0.269,1.09,0,0,0,0,0,0
"1030","apacpnut",2005,5,0.0045,0.0305,0.0095,0.2285,0.238,1.825,0,0,0,0,0,0
"1031","apacpnut",2005,6,0.0035,0.0215,0.008,0.2805,0.2885,1.705,0,0,0,0,0,0
"1032","apacpnut",2005,8,0.002,0.0325,0.003,0.142,0.145,1.495,0,0,0,0,0,0
"1033","apacpnut",2005,9,0.001,0.0825,NA,NA,NA,2.56,0,0,NA,NA,NA,0
"1034","apacpnut",2005,10,0.001,0.041,0.003,0.012,0.011,2.56,0,0,0,0,1,0
"1035","apacpnut",2005,11,0.0015,0.00625,0.002,0.0675,0.03825,1.1725,1,0,1,0,1,0
"1036","apacpnut",2006,1,0.0015,0.017,0.0035,0.288,0.2915,4.74,0,0,0,0,0,0
"1037","apacpnut",2006,2,0.002,0.0215,0.004,0.3015,0.3055,3.885,0,0,0,0,0,0
"1038","apacpnut",2006,3,0.0015,0.0355,0.004,0.2475,0.2515,1.96,0,0,0,0,0,0
"1039","apacpnut",2006,4,0.002,0.083,NA,NA,0.211,4.71,0,0,NA,NA,0,0
"1040","apacpnut",2006,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041","apacpnut",2006,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1042","apacpnut",2006,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043","apacpnut",2006,8,0.006,0.01,NA,NA,0.007,10.425,0,0,NA,NA,1,0
"1044","apacpnut",2006,9,0.002,0.0505,NA,NA,0.02,7.35,0,0,NA,NA,0,0
"1045","apacpnut",2006,10,0.0065,0.04,NA,NA,0.0135,2.52,0,0,NA,NA,0,0
"1046","apacpnut",2006,11,0.005,0.017,NA,NA,0.01125,3.2475,1,1,NA,NA,1,0
"1047","apacpnut",2007,1,0.0065,0.0465,NA,NA,0.166,4.45,0,0,NA,NA,0,0
"1048","apacpnut",2007,2,0.002,0.0095,NA,NA,0.1555,3.05,0,0,NA,NA,0,0
"1049","apacpnut",2007,3,0.00233333333333333,0.0276666666666667,NA,NA,0.286,2.9,1,0,NA,NA,0,0
"1050","apacpnut",2007,4,0.002,0.033,NA,NA,0.113,3.8,1,0,NA,NA,0,0
"1051","apacpnut",2007,5,0.003,0.091,NA,NA,0.01,8.5,0,0,NA,NA,0,0
"1052","apacpnut",2007,6,0.009,0.075,NA,NA,0.052,2.9,0,0,NA,NA,0,0
"1053","apacpnut",2007,7,0.002,0.059,NA,NA,0.018,6.5,1,0,NA,NA,0,0
"1054","apacpnut",2007,8,0.002,0.067,NA,NA,0.182,8,1,0,NA,NA,0,0
"1055","apacpnut",2007,9,0.006,0.011,NA,NA,0.002,13.6,0,0,NA,NA,0,0
"1056","apacpnut",2007,10,0.006,0.027,NA,NA,0.014,4.2,0,0,NA,NA,0,0
"1057","apacpnut",2007,11,0.002,0.016,NA,NA,0.003,4.7,1,0,NA,NA,0,0
"1058","apacpnut",2007,12,0.004,0.021,NA,NA,0.012,2.7,0,0,NA,NA,0,0
"1059","apacpnut",2008,1,0.003,0.017,NA,NA,0.01,0.4,0,0,NA,NA,0,0
"1060","apacpnut",2008,2,0.002,0.0303333333333333,NA,NA,0.137333333333333,3.06666666666667,1,0,NA,NA,0,0
"1061","apacpnut",2008,3,0.002,0.064,NA,NA,0.143,6.5,0,0,NA,NA,0,0
"1062","apacpnut",2008,4,0.002,0.024,NA,NA,0.178,4.9,0,0,NA,NA,0,0
"1063","apacpnut",2008,5,0.002,0.045,NA,NA,0.055,14.5,1,0,NA,NA,0,0
"1064","apacpnut",2008,6,0.003,0.048,NA,NA,0.021,7.5,0,0,NA,NA,0,0
"1065","apacpnut",2008,7,0.003,0.038,NA,NA,0.017,9.6,0,0,NA,NA,0,0
"1066","apacpnut",2008,8,0.005,0.11,NA,NA,0.008,15.6,0,0,NA,NA,0,0
"1067","apacpnut",2008,9,0.005,0.097,NA,NA,0.034,5.8,0,0,NA,NA,0,0
"1068","apacpnut",2008,10,0.003,0.016,NA,NA,NA,5.8,0,0,NA,NA,NA,0
"1069","apacpnut",2008,11,0.004,0.145,NA,NA,0.0062,2.9,0,0,NA,NA,1,0
"1070","apacpnut",2008,12,NA,0.026,NA,NA,0.096,5.4,NA,0,NA,NA,0,0
"1071","apacpnut",2009,1,0.002,0.034,NA,NA,0.241,6.9,0,0,NA,NA,0,0
"1072","apacpnut",2009,2,0.002,0.0117,NA,NA,0.013,8,1,1,NA,NA,0,0
"1073","apacpnut",2009,3,0.002,0.0203333333333333,NA,NA,0.232666666666667,5.8,1,0,NA,NA,0,0
"1074","apacpnut",2009,4,0.018,0.049,NA,NA,0.193,2.4,0,0,NA,NA,0,0
"1075","apacpnut",2009,5,0.003,0.063,NA,NA,0.193,9.4,0,0,NA,NA,0,0
"1076","apacpnut",2009,6,0.004,0.11,NA,NA,0.117,6,0,0,NA,NA,0,0
"1077","apacpnut",2009,7,0.001,0.044,NA,NA,0.054,11.8,0,0,NA,NA,0,0
"1078","apacpnut",2009,8,0.001,0.0193,NA,NA,0.034,19.7,1,1,NA,NA,0,0
"1079","apacpnut",2009,9,0.00533333333333333,0.089,NA,NA,0.00866666666666667,7.63333333333333,0,0,NA,NA,0,0
"1080","apacpnut",2009,10,0.009,0.13,NA,NA,0.12,5.8,0,0,NA,NA,0,0
"1081","apacpnut",2009,11,0.002,0.026,NA,NA,0.041,6.9,0,0,NA,NA,0,0
"1082","apacpnut",2009,12,0.007,0.0193,NA,NA,NA,2.7,0,1,NA,NA,NA,0
"1083","apacpnut",2010,1,0.006,0.028,NA,NA,NA,1.8,0,0,NA,NA,NA,0
"1084","apacpnut",2010,2,0.007,0.05,NA,NA,0.369,4.7,0,0,NA,NA,0,0
"1085","apacpnut",2010,3,0.002,0.023,NA,NA,0.43,5.1,0,0,NA,NA,0,0
"1086","apacpnut",2010,4,0.006,0.052,NA,NA,0.227,4.5,0,0,NA,NA,0,0
"1087","apacpnut",2010,5,0.004,0.073,NA,NA,0.156,5.1,0,0,NA,NA,0,0
"1088","apacpnut",2010,6,0.002,0.0177,NA,NA,0.025,13.6,1,1,NA,NA,0,0
"1089","apacpnut",2010,7,0.002,0.0177,NA,NA,0.022,13.4,1,1,NA,NA,0,0
"1090","apacpnut",2010,8,0.002,0.044,NA,NA,0.034,11.6,1,0,NA,NA,0,0
"1091","apacpnut",2010,9,0.002,0.043,NA,NA,0.0021,11.6,1,0,NA,NA,1,0
"1092","apacpnut",2010,10,0.002,0.0202333333333333,NA,NA,0.068,4.53333333333333,1,1,NA,NA,0,0
"1093","apacpnut",2010,11,0.009,0.048,NA,NA,0.018,NA,0,0,NA,NA,0,NA
"1094","apacpnut",2010,12,0.002,0.05,NA,NA,0.246,6.5,0,0,NA,NA,0,0
"1095","apacpnut",2011,1,0.003,0.043,NA,NA,0.003,3.8,1,0,NA,NA,1,0
"1096","apacpnut",2011,2,0.00433333333333333,0.015,NA,NA,0.0866666666666667,8.56666666666667,0,1,NA,NA,0,0
"1097","apacpnut",2011,3,0.004,0.015,NA,NA,0.047,4.7,0,1,NA,NA,0,0
"1098","apacpnut",2011,4,0.003,0.042,NA,NA,0.245,9.4,1,0,NA,NA,0,0
"1099","apacpnut",2011,5,0.003,0.037,NA,NA,0.017,10.5,1,0,NA,NA,0,0
"1100","apacpnut",2011,6,0.003,0.022,NA,NA,0.01,12.3,1,0,NA,NA,0,0
"1101","apacpnut",2011,7,0.003,0.036,NA,NA,0.018,14.7,1,0,NA,NA,0,0
"1102","apacpnut",2011,8,0.003,0.066,NA,NA,0.03,14.5,1,0,NA,NA,0,0
"1103","apacpnut",2011,9,0.003,0.084,NA,NA,0.065,10,0,0,NA,NA,0,0
"1104","apacpnut",2011,10,0.003,0.062,NA,NA,0.003,6.2,1,0,NA,NA,0,0
"1105","apacpnut",2011,11,0.003,0.018,NA,NA,0.004,6,1,0,NA,NA,0,0
"1106","apacpnut",2011,12,0.003,0.032,NA,NA,0.007,3.4,1,0,NA,NA,0,0
"1107","apacpnut",2012,1,0.003,0.03,NA,NA,0.0024,4.02,1,0,NA,NA,1,0
"1108","apacpnut",2012,2,0.005,0.019,NA,NA,0.081,6.7,0,0,NA,NA,0,0
"1109","apacpnut",2012,3,0.003,0.041,NA,NA,0.51,8.04,1,0,NA,NA,0,0
"1110","apacpnut",2012,4,0.003,0.043,NA,NA,0.154,5.81,1,0,NA,NA,0,0
"1111","apacpnut",2012,5,0.003,0.0303333333333333,NA,NA,0.00666666666666667,9.01333333333333,1,0,NA,NA,0,0
"1112","apacpnut",2012,6,0.003,0.04,NA,NA,0.042,9.38,1,0,NA,NA,0,0
"1113","apacpnut",2012,7,0.00433333333333333,0.0763333333333333,NA,NA,0.058,6.48,0,0,NA,NA,0,0
"1114","apacpnut",2012,8,0.003,0.05,NA,NA,0.049,6.7,1,0,NA,NA,0,0
"1115","apacpnut",2012,9,0.003,0.026,NA,NA,0.007,8.71,1,0,NA,NA,0,0
"1116","apacpnut",2012,10,0.003,0.036,NA,NA,0.0123333333333333,13.1833333333333,1,0,NA,NA,0,0
"1117","apacpnut",2012,11,0.003,0.0555,NA,NA,0.005,2.795,1,0,NA,NA,0,0
"1118","apacpnut",2013,1,0.003,0.013,NA,NA,0.004,2.23,1,1,NA,NA,0,0
"1119","apacpnut",2013,2,0.008,0.014,NA,NA,0.002,4.02,0,0,NA,NA,1,0
"1120","apacpnut",2013,3,0.0126666666666667,0.0666666666666667,NA,NA,0.236,2.15666666666667,0,0,NA,NA,0,0
"1121","apacpnut",2013,4,0.003,0.063,NA,NA,0.276,10.5,0,0,NA,NA,0,0
"1122","apacpnut",2013,5,0.003,0.065,NA,NA,0.1,5.59,0,0,NA,NA,0,0
"1123","apacpnut",2013,6,0.003,NA,NA,NA,0.002,5.81,1,NA,NA,NA,1,0
"1124","apacpnut",2013,7,0.004,0.065,NA,NA,0.036,6.8,0,0,NA,NA,0,0
"1125","apacpnut",2013,8,0.004,0.019,NA,NA,0.019,11,0,0,NA,NA,0,0
"1126","apacpnut",2013,9,0.006,0.1,NA,NA,0.15,4.4,0,0,NA,NA,0,0
"1127","apacpnut",2013,10,0.0045,0.0225,NA,NA,0.039,5.05,0,0,NA,NA,0,0
"1128","apacpnut",2013,12,0.005,0.01,NA,NA,0.15,5.9,0,0,NA,NA,0,0
"1129","apacpnut",2014,1,0.004,0.021,NA,NA,0.32,5.4,1,0,NA,NA,0,0
"1130","apacpnut",2014,2,0.004,0.012,NA,NA,0.22,6.3,1,0,NA,NA,0,0
"1131","apacpnut",2014,3,0.004,0.022,NA,NA,0.19,3.8,1,0,NA,NA,0,0
"1132","apacpnut",2014,4,0.005,0.03,NA,NA,0.22,3,0,0,NA,NA,0,0
"1133","apacpnut",2014,5,0.01,0.063,NA,NA,0.31,1.7,0,0,NA,NA,0,0
"1134","apacpnut",2014,6,0.004,0.008,NA,NA,0.13,11,1,0,NA,NA,0,0
"1135","apacpnut",2014,7,0.004,0.011,NA,NA,0.005,15,1,0,NA,NA,0,0
"1136","apacpnut",2014,8,0.004,0.018,NA,NA,0.008,12,1,0,NA,NA,0,0
"1137","apacpnut",2014,9,0.004,0.048,NA,NA,0.004,9.6,1,0,NA,NA,1,0
"1138","apacpnut",2014,10,0.004,0.0075,NA,NA,0.008,6.65,1,0,NA,NA,1,0
"1139","apacpnut",2014,12,0.004,0.038,NA,NA,0.012,5.6,1,0,NA,NA,0,0
"1140","apacpnut",2015,1,0.006,0.057,NA,NA,0.15,3,0,0,NA,NA,0,0
"1141","apacpnut",2015,2,0.004,0.008,NA,NA,0.17,5.6,1,0,NA,NA,0,0
"1142","apacpnut",2015,3,0.004,0.009,NA,NA,0.028,2.3,1,0,NA,NA,0,0
"1143","apacpnut",2015,4,0.004,0.019,NA,NA,0.044,8.3,1,0,NA,NA,0,0
"1144","apacpnut",2015,5,0.004,0.01,NA,NA,0.013,9.7,1,0,NA,NA,0,0
"1145","apacpnut",2015,6,0.004,0.007,NA,NA,0.004,9,1,0,NA,NA,1,0
"1146","apacpnut",2015,7,0.004,0.0173333333333333,NA,NA,0.015,9.93333333333333,1,0,NA,NA,0,0
"1147","apacpnut",2015,8,0.004,0.012,NA,NA,0.02,11,1,0,NA,NA,0,0
"1148","apacpnut",2015,9,0.004,0.006,NA,NA,0.004,12,0,0,NA,NA,1,0
"1149","apacpnut",2015,10,0.004,0.015,NA,NA,0.021,6,1,0,NA,NA,0,0
"1150","apacpnut",2015,11,0.004,0.024,NA,NA,0.006,2.8,1,0,NA,NA,0,0
"1151","apacpnut",2015,12,0.004,0.025,NA,NA,0.021,1.6,0,0,NA,NA,0,0
"1152","apacpnut",2016,1,0.01,0.031,NA,NA,0.22,1.5,0,0,NA,NA,0,1
"1153","apacpnut",2016,2,0.006,0.011,NA,NA,0.38,7.3,0,0,NA,NA,0,0
"1154","apacpnut",2016,3,0.004,0.006,NA,NA,0.28,7.9,1,0,NA,NA,0,0
"1155","apacpnut",2016,4,0.005,0.039,NA,NA,0.34,7.3,0,0,NA,NA,0,0
"1156","apacpnut",2016,5,0.004,0.012,NA,NA,0.0836666666666667,11.6666666666667,1,0,NA,NA,0,0
"1157","apacpnut",2016,6,0.004,0.004,NA,NA,0.089,15,1,0,NA,NA,0,0
"1158","apacpnut",2016,7,0.005,0.023,NA,NA,0.049,14,0,0,NA,NA,0,0
"1159","apacpnut",2016,8,0.004,0.017,NA,NA,0.005,10,1,0,NA,NA,0,0
"1160","apacpnut",2016,9,0.00533333333333333,0.00933333333333333,NA,NA,0.004,6.56666666666667,0,0,NA,NA,1,0
"1161","apacpnut",2016,10,0.004,0.013,NA,NA,0.005,6.1,0,0,NA,NA,0,0
"1162","apacpnut",2016,11,0.004,0.007,NA,NA,0.004,4.4,1,0,NA,NA,1,0
"1163","apacpnut",2016,12,0.004,0.018,NA,NA,0.013,3,1,0,NA,NA,0,0
"1164","apacpnut",2017,1,0.004,0.017,NA,NA,0.04,4.1,1,0,NA,NA,0,0
"1165","apacpnut",2017,2,0.004,0.01725,NA,NA,0.05275,5.275,1,0,NA,NA,0,0
"1166","apacpnut",2017,4,0.004,0.009,NA,NA,0.004,9.2,0,0,NA,NA,1,0
"1167","apacpnut",2017,5,0.005,0.032,NA,NA,0.05,11,0,0,NA,NA,0,0
"1168","apacpnut",2017,6,0.004,0.022,NA,NA,0.018,12,0,0,NA,NA,0,0
"1169","apacpnut",2017,7,0.004,0.008,NA,NA,0.02,13,1,0,NA,NA,0,0
"1170","apacpnut",2017,8,0.005,0.008,NA,NA,0.011,14,0,0,NA,NA,0,0
"1171","apacpnut",2017,9,0.004,0.004,NA,NA,0.004,11,1,0,NA,NA,0,0
"1172","apacpnut",2017,10,0.004,0.011,NA,NA,0.004,6.3,1,0,NA,NA,1,0
"1173","apacpnut",2017,11,0.004,0.0045,NA,NA,0.01,6.1,1,0,NA,NA,1,0
"1174","apacpnut",2018,1,0.004,0.007,NA,NA,0.004,1.9,1,0,NA,NA,1,0
"1175","apacpnut",2018,2,0.004,0.004,NA,NA,0.012,3.2,1,0,NA,NA,0,0
"1176","apacpnut",2018,3,0.004,0.005,NA,NA,0.16,13,1,0,NA,NA,0,0
"1177","apacpnut",2018,4,0.004,0.006,NA,NA,0.024,5.4,1,0,NA,NA,0,0
"1178","apacpnut",2018,5,0.004,0.008,NA,NA,0.02,12,1,0,NA,NA,0,0
"1179","apacpnut",2018,6,0.004,0.013,NA,NA,0.059,13,1,0,NA,NA,0,0
"1180","apacpnut",2018,7,0.004,0.0596666666666667,NA,NA,0.024,11.3333333333333,1,0,NA,NA,0,0
"1181","apacpnut",2018,8,0.004,0.003,NA,NA,0.005,13,1,0,NA,NA,0,0
"1182","apacpnut",2018,9,0.004,0.0183333333333333,NA,NA,0.0743333333333333,9.46666666666667,1,0,NA,NA,0,0
"1183","apacpnut",2018,10,9,0.03,NA,NA,0.004,7.1,0,0,NA,NA,1,0
"1184","apacpnut",2018,11,0.004,0.018,NA,NA,0.101,4.2,1,0,NA,NA,0,0
"1185","apacpnut",2019,1,0.007,0.039,NA,NA,0.34,2.3,0,0,NA,NA,0,0
"1186","apacpnut",2019,2,0.005,0.011,NA,NA,0.33,7.3,0,0,NA,NA,0,0
"1187","apacpnut",2019,3,2.20266666666667,0.0133333333333333,NA,NA,0.0946666666666667,5.33333333333333,1,0,NA,NA,1,0
"1188","apacpnut",2019,4,0.004,0.031,NA,NA,0.045,6.7,1,0,NA,NA,0,0
"1189","apacpnut",2019,5,0.004,0.015,NA,NA,0.12,8.6,1,0,NA,NA,0,0
"1190","apacpnut",2019,6,0.004,0.006,NA,NA,0.011,15,1,0,NA,NA,0,0
"1191","apacpnut",2019,7,0.004,0.0183333333333333,NA,NA,0.0423333333333333,17.3333333333333,1,0,NA,NA,0,0
"1192","apacpnut",2019,8,0.004,0.013,NA,NA,0.013,10,1,0,NA,NA,0,0
"1193","apacpnut",2019,9,0.004,0.008,NA,NA,0.004,8.5,1,0,NA,NA,1,0
"1194","apacpnut",2019,10,0.004,0.005,NA,NA,0.004,4.5,1,0,NA,NA,1,0
"1195","apacpnut",2019,11,0.004,0.006,NA,NA,0.004,2.6,1,0,NA,NA,1,0
"1196","apacpnut",2019,12,0.004,0.006,NA,NA,0.11,15,1,0,NA,NA,0,0
"1197","apacpnut",2020,1,0.005,0.005,NA,NA,0.12,14,0,0,NA,NA,0,0
"1198","apacpnut",2020,2,0.005,0.004,NA,NA,0.2,15,0,0,NA,NA,0,0
"1199","apacpnut",2020,3,0.011,0.038,NA,NA,0.27,3.5,0,0,NA,NA,0,0
"1200","apacpnut",2020,5,NA,0.016,NA,NA,0.25,NA,NA,0,NA,NA,0,NA
"1201","apacpnut",2020,7,0.004,0.004,NA,NA,0.047,17,1,0,NA,NA,0,0
"1202","apacpnut",2020,8,0.004,0.037,NA,NA,0.019,16,1,0,NA,NA,0,0
"1203","apacpnut",2020,9,0.007,0.0395,NA,NA,0.102,6,1,0,NA,NA,0,0
"1204","apacpnut",2020,11,0.004,0.007,NA,NA,0.004,2.9,1,0,NA,NA,1,0
"1205","apacpnut",2021,1,0.004,0.006,NA,NA,0.21,13,1,0,NA,NA,0,0
"1206","apacpnut",2021,2,0.004,0.005,NA,NA,0.39,15,1,0,NA,NA,0,0
"1207","apacpnut",2021,3,0.005,0.02,NA,NA,0.11,6.8,0,0,NA,NA,0,0
"1208","apacpnut",2021,4,0.004,0.013,NA,NA,0.094,7.1,1,0,NA,NA,0,0
"1209","apacpnut",2021,5,0.00433333333333333,NA,NA,NA,0.316666666666667,14,1,NA,NA,NA,0,0
"1210","apacpnut",2021,6,0.004,0.008,NA,NA,0.004,5.7,1,0,NA,NA,1,0
"1211","apacpnut",2021,7,0.004,0.038,NA,NA,0.014,21,1,0,NA,NA,0,0
"1212","apacpnut",2021,8,0.004,0.01,NA,NA,0.008,13,1,0,NA,NA,0,0
"1213","apacpnut",2021,9,0.004,0.037,NA,NA,0.056,9.3,0,0,NA,NA,0,0
"1214","apacpnut",2021,10,0.004,0.034,NA,NA,0.039,14,0,0,NA,NA,0,0
"1215","apacpnut",2021,11,0.004,0.0075,NA,NA,0.057,9.55,1,0,NA,NA,0,0
"1216","apacpnut",2022,2,0.004,0.005,NA,NA,0.012,21,0,0,NA,NA,0,0
"1217","apacpnut",2022,3,0.004,0.024,NA,NA,0.25,20,1,0,NA,NA,0,0
"1218","apacpnut",2022,4,0.004,0.028,NA,NA,0.096,9.5,1,0,NA,NA,0,0
"1219","apacpnut",2022,5,0.004,0.02525,NA,NA,0.05475,7.525,1,0,NA,NA,0,0
"1220","apacpnut",2022,6,0.004,0.002,NA,NA,0.004,12,1,1,NA,NA,1,0
"1221","apacpnut",2022,8,0.004,0.011,NA,NA,0.009,14,1,0,NA,NA,0,0
"1222","apacpnut",2022,9,0.004,0.004,NA,NA,0.005,14,1,0,NA,NA,0,0
"1223","apacpnut",2022,10,0.004,0.004,NA,NA,0.004,5.7,1,0,NA,NA,1,0
"1224","apacpnut",2022,11,0.005,0.009,NA,NA,0.008,5.9,0,0,NA,NA,0,0
"1225","apacpnut",2022,12,0.004,0.014,NA,NA,0.004,6.5,1,0,NA,NA,1,0
"1226","apadbnut",2002,4,0.0085,0.0185,0.002,NA,0.0625,1.6,0,0,1,NA,0,0
"1227","apadbnut",2002,6,0.01,0.037,0.002,NA,0.039,3.8,0,0,1,NA,0,0
"1228","apadbnut",2002,7,0.0175,0.0295,0.002,NA,0.022,7.45,0,0,1,NA,0,0
"1229","apadbnut",2002,8,0.011,0.005,0.002,NA,0.01,10.3,0,0,1,NA,0,0
"1230","apadbnut",2002,9,0.014,0.02,0.002,0.011,0.013,6,0,0,0,0,0,0
"1231","apadbnut",2002,10,0.0045,0.043,0.013,0.043,0.056,3.8,0,0,0,0,0,0
"1232","apadbnut",2002,11,0.002,0.034,0.009,0.1515,0.1605,5.2,0,0,0,0,0,0
"1233","apadbnut",2002,12,0.012,0.011,0.004,0.145,0.149,4.05,0,0,0,0,0,0
"1234","apadbnut",2003,1,0.0115,0.035,0.002,NA,0.036,11.534,0,0,1,NA,0,0
"1235","apadbnut",2003,2,0.002,0.035,0.002,0.105,0.107,11.748,0,0,0,0,0,0
"1236","apadbnut",2003,4,0.015,0.282,0.008,0.328,0.336,6.408,0,0,0,0,0,0
"1237","apadbnut",2003,5,0.003,0.035,0.0045,0.0985,0.103,10.68,0,0,0,0,0,0
"1238","apadbnut",2003,6,0.002,0.05,0.002,NA,0.0115,4.699,0,0,1,NA,0,0
"1239","apadbnut",2003,7,0.001,0.004,0.002,NA,0.1995,8.7575,1,0,1,NA,0,0
"1240","apadbnut",2003,9,0.001,0.05,0.0115,0.1895,0.201,5.34,0,0,0,0,0,0
"1241","apadbnut",2003,10,0.0015,0.007,0.002,0.164,0.166,3.631,0,0,0,0,0,0
"1242","apadbnut",2003,11,0.001,0.024,0.002,0.168,0.17,6.1945,0,0,0,0,0,0
"1243","apadbnut",2003,12,0.001,0.004,0.003,0.104,0.107,3.845,0,1,0,0,0,0
"1244","apadbnut",2004,1,0.001,0.009,0.003,0.24,0.243,2.8,1,0,0,0,0,0
"1245","apadbnut",2004,2,0.001,0.0165,0.004,0.2845,0.2885,7.35,1,0,0,0,0,0
"1246","apadbnut",2004,3,0.001,0.0045,0.002,0.092,0.094,2.8,1,0,0,0,0,0
"1247","apadbnut",2004,4,0.001,0.004,0.002,NA,0.0325,1.9,1,0,1,NA,0,0
"1248","apadbnut",2004,5,0.001,0.0645,0.002,0.037,0.039,9,1,0,0,0,0,0
"1249","apadbnut",2004,6,0.013,0.0055,0.002,NA,0.012,5.75,0,0,1,NA,0,0
"1250","apadbnut",2004,7,0.002,0.0045,0.002,NA,0.014,4.8,0,0,1,NA,0,0
"1251","apadbnut",2004,8,0.001,0.005,0.002,NA,0.007,8,0,0,1,NA,1,0
"1252","apadbnut",2004,9,0.002,0.018,0.0095,0.0815,0.091,9.95,0,0,0,0,0,0
"1253","apadbnut",2004,10,NA,0.0305,0.0045,0.07,0.0745,8.75,NA,0,0,0,0,0
"1254","apadbnut",2004,11,0.00625,0.0165,0.00725,0.161,0.16825,1.85,0,0,0,0,0,0
"1255","apadbnut",2005,1,0.0335,0.0305,0.0035,0.255,0.2585,1.92,0,0,0,0,0,0
"1256","apadbnut",2005,2,0.0015,0.0165,0.009,0.248,0.257,2.24,0,0,0,0,0,0
"1257","apadbnut",2005,3,0.001,0.004,0.002,0.145,0.147,1.12,1,1,0,0,0,0
"1258","apadbnut",2005,4,0.004,0.053,0.0025,0.259,0.2615,1.005,0,0,0,0,0,0
"1259","apadbnut",2005,5,0.002,0.078,0.006,0.2235,0.2295,0.6,0,0,0,0,0,1
