"","station","year","month","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totprcp_nValid","totprcp_total","dailyPAR_nValid","dailyPAR_min","dailyPAR_median","dailyPAR_max","dailyPAR_mean","dailyPAR_sd","dailyPAR_iqr"
"263","apaebmet",2002,11,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2880,1008,1021,1030,1019.58576388889,4.81151566421178,8,2880,0.2,2.5,17.1,2.80590277777778,1.70732232302072,2.3,0,NA,NA,NA,NA,NA,NA,2880,0,208,355,195.178819444444,127.743668783238,258.25,2880,61.1,30,4835.8,27964.15,34239.7,24683.94,8447.20435559845,10550.375
"264","apaebmet",2002,12,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2976,1004,1021,1031,1020.5188172043,5.32054670333537,6,2976,0.2,2.6,11.1,2.96757392473118,1.92321517245869,2.5,0,NA,NA,NA,NA,NA,NA,2976,0,162,355,180.006384408602,130.380852435911,266,2976,112.2,31,2555.7,24173.3,29500.1,21260.3032258065,8212.31114049648,8542.25
"265","apaebmet",2003,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2976,1007,1024,1035,1022.91532258065,5.40496694352636,7,2976,0.2,2.3,13.3,2.68514784946237,1.78499474235473,2.2,0,NA,NA,NA,NA,NA,NA,2976,0,274,355,236.765793010753,111.64877666293,142.25,2976,6.2,31,6850.8,29107.1,33340,26264.464516129,6966.88529404393,6252.9
"266","apaebmet",2003,2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2688,1000,1019,1029,1018.34561011905,5.58094771273777,8,2688,0.2,2.8,12.2,2.98839285714286,1.92102327599727,2.6,0,NA,NA,NA,NA,NA,NA,2688,0,170,355,184.857514880952,114.044899436723,206.25,2688,167.1,28,7373.1,29384.3,41856.7,26453.2357142857,10915.631454367,17223.775
"267","apaebmet",2003,3,2054,3.1,19.1,27.2,18.5646543330088,4.02472956584856,5.4,2054,19,86,99,79.562317429406,19.1399532320943,23,2953,1000,1015,1032,1014.19031493397,5.12998528127994,5,2953,0.2,2.8,10.1,2.95431764307484,1.78408420576755,2.4,0,NA,NA,NA,NA,NA,NA,2953,0,162,355,171.946495089739,106.176971628863,192,2953,226.5,31,3996.9,28106.8,49465.2,28627.7258064516,13141.5977997342,22740.1
"268","apaebmet",2003,4,2880,5.7,20.2,28.5,19.3039583333333,4.51563048514386,5.9,2880,24,86,99,79.5690972222222,17.4381081860275,26,2880,1004,1016,1033,1016.78333333333,5.04411934624464,5,2880,0.2,2.6,8.8,2.76138888888889,1.72406766811086,2.6,0,NA,NA,NA,NA,NA,NA,2880,0,182,355,187.671527777778,97.8405449455775,164.25,2880,49,30,4653.4,47916.9,51774.7,40832.66,13361.3472757751,16883.4
"269","apaebmet",2003,5,2976,16.8,25,30.8,24.6696908602151,2.88348097962561,4.4,2976,29,82,98,78.3484543010753,14.377195445236,18,2976,1010,1016,1021,1015.74327956989,2.29927760605664,3,2976,0.2,2.9,10.3,3.11337365591398,1.70710307747981,2.15,0,NA,NA,NA,NA,NA,NA,2976,0,191,355,195.856182795699,81.5556528987622,94,2976,60.6,31,9752.6,45933.4,54082.7,43719.3290322581,9005.20645597844,7412.85000000001
"270","apaebmet",2003,6,2880,21.2,25.8,31.7,26.02125,2.36005453660914,3.9,2880,42,86,97,82.9996527777778,11.1861169049486,16,2880,1009,1015,1023,1015.14861111111,2.58850925194942,4,2880,0.2,2.3,14.3,2.5965625,1.97870356305977,3.1,0,NA,NA,NA,NA,NA,NA,2880,0,176,355,179.439930555556,92.5104907693816,121,2880,348.4,30,5042.7,39266.75,57216.8,36443.2866666667,14819.2018689577,23569.775
"271","apaebmet",2003,7,2976,21,25.6,31.9,26.0650201612903,2.50219188610456,4.1,2976,53,86,98,82.7641129032258,10.6966798784893,18,2976,1013,1019,1025,1019.00403225806,2.11405473744382,2,2976,0.2,1.5,10.1,1.92836021505376,1.79613837855199,2.7,0,NA,NA,NA,NA,NA,NA,2976,0,212,355,202.890456989247,101.263616847986,146.25,2976,276.6,31,12819.4,34628.7,50490.6,32655.7161290323,11835.8638994399,18563.15
"272","apaebmet",2003,8,2976,21.8,26.25,32.2,26.6041666666667,2.25612952823619,3.8,2976,56,85,96,82.3175403225806,9.83225568715202,17,2976,1011,1018,1024,1017.53192204301,2.71187661192216,3,2976,0.2,1.9,9.2,2.07506720430108,1.65235253594537,2.8,0,NA,NA,NA,NA,NA,NA,2976,0,165,355,172.988911290323,110.551611026383,194.5,2976,195,31,14173,36405.4,50685.1,35398.2258064516,10536.7672464556,18645
"273","apaebmet",2003,9,2880,13.8,24.7,31.7,24.7659027777778,3.20974828846379,4.7,2880,30,81,97,78.1711805555556,14.533484208761,22,2880,1010,1016,1023,1016.16805555556,2.7048039230751,4,2880,0.2,2.5,9.4,2.44048611111111,1.63336598648166,2.2,0,NA,NA,NA,NA,NA,NA,2880,0,103,355,158.675,136.023688505586,290,2880,122.4,30,7001.6,35442.35,45686.7,33702.5233333333,10546.21352618,13031.75
"274","apaebmet",2003,10,2976,12.3,21.3,30.3,21.0547715053763,3.55444341372684,5.4,2976,28,86,98,80.2063172043011,16.2229148158256,25,2976,1005,1017,1025,1016.50369623656,3.80340225143018,5,2976,0.2,2.2,8.3,2.26263440860215,1.66559903638165,3,0,NA,NA,NA,NA,NA,NA,2976,0,102,355,158.32560483871,133.237402941108,277,2976,167.4,31,4410.7,33278.7,41238.3,28502.8,11443.4136184678,17402.6
"275","apaebmet",2003,11,2879,2,19.5,28.4,18.120736366794,5.90751138559949,8.4,2879,24,83,98,77.5918721778395,17.0841990585915,23,2879,1007,1020,1030,1020.64640500174,3.85545110571388,5,2879,0.2,2.6,11.4,2.61965960402918,1.8785471211692,3.1,2648,0.2,4,17,4.12118580060423,2.96578024567802,4.1,2879,0,115,360,138.150052101424,121.153377106856,193,2879,144.6,30,10377.9,29307.35,35379.9,27199.7766666667,6241.84339685129,4873.14999999999
"276","apaebmet",2003,12,2976,0.3,10.7,20,10.7851478494624,4.99644389625114,8.8,2976,22,80,98,75.6263440860215,17.6136739721691,25,2976,1009,1022,1035,1022.01108870968,4.83483974072714,6,2976,0.2,2.5,9.2,2.56639784946237,1.70261092482295,2.3,2976,0.2,4,14.6,4.10803091397849,2.66478801156997,3.3,2976,0,132,360,176.601814516129,131.399516710163,265,2976,65.3,31,5810,25272.5,29770.9,22414.135483871,6509.94105925947,11620.25
"277","apaebmet",2004,1,2976,-1.3,11.8,23.6,11.3960349462366,5.73800460771043,8.9,2976,20,82,98,76.2852822580645,18.9466903197251,29,2976,1008,1022,1035,1021.82224462366,6.17413872892444,8,2976,0.2,2.3,10.2,2.4471438172043,1.79771804207597,3.025,2976,0.2,3.7,15.2,3.92614247311828,2.76135919008545,3.9,2976,0,172,360,180.247311827957,127.72326173963,262.25,2976,47.2,31,5136.8,26896.4,31166.7,23694.5967741935,7023.60834094479,8847.9
"278","apaebmet",2004,2,2783,-0.7,11.8,22.1,11.7690621631333,4.20489283367835,6,2783,29,87,98,81.6209126841538,15.7446722001239,21,2783,1006,1021,1034,1020.99532878189,6.02811944458313,9,2783,0.2,3,8.9,3.00743801652893,1.87038442527076,2.5,2783,0.2,4.7,14,4.82472152353575,2.70198818876827,3.6,2783,0,88,360,135.567732662594,116.004339674385,185.5,2783,199,29,3447.1,18147.4,40347.1,21080.175862069,12122.6339616867,21579.4
"279","apaebmet",2004,3,2976,4.8,17.25,27.7,16.9014448924731,4.14753480641302,5.1,2976,18,77,98,72.4848790322581,20.4612962744069,33,2976,1012,1023,1033,1023.19321236559,4.18833525781551,5,2976,0.2,2.8,8,2.70950940860215,2.02297068221166,3.825,2976,0.2,4.3,12.4,4.24002016129032,2.97603557846664,4.7,2976,0,154,360,174.717741935484,109.476248762465,183.25,2976,13.3,31,15095.9,40516.2,45674.3,37444.5,7903.74338584783,8048.09999999999
"280","apaebmet",2004,4,764,4.9,17.75,25,16.9307591623037,5.14496625817443,9.5,751,17,69,95,62.4593874833555,21.6893986797926,40,2873,1001,1019,1032,1018.56735120084,5.71293362161556,7,2873,0.2,2.7,11.1,2.66334841628959,1.95956075142417,3.2,2873,0.2,4.3,17.3,4.30299338670379,3.04325675047793,3.9,2873,0,200,360,201.750783153498,102.404234699447,164,2873,35.3,30,8044.3,46279.55,50314,40872.05,12054.9946058355,10233.1
"281","apaebmet",2004,5,2976,9.8,23.8,31.6,23.458938172043,3.80121529636053,5.1,2667,27,82,99,79.7739032620922,14.8430734041896,22,2976,1012,1020,1026,1019.75672043011,3.14916905627622,5,2976,0.2,2.8,8.2,2.97318548387097,1.76180772342605,2.8,2976,0.2,4.3,11.8,4.47778897849462,2.49824555927686,4.2,2976,0,202,360,190.588709677419,99.7850641063293,140,2976,7.4,31,14234.3,56797.1,60061.3,52359.4483870968,9431.01036569858,10438.15
"282","apaebmet",2004,6,2880,20.7,26.3,33.5,26.4386805555556,2.75934554526555,4.6,2431,54,87,99,84.9049773755656,10.3486753843872,17,2880,1012,1019,1024,1018.79409722222,2.30399773780645,4,2880,0.2,2,8.6,2.46756944444444,1.58377618073399,2.2,2880,0.2,3.2,14.8,3.86833333333333,2.25534847306961,3.3,2880,0,208,360,189.464930555556,103.603605157986,155,2880,139.9,30,23275.5,46482.1,58565.4,44605.1433333333,9220.60872523715,11416.7
"283","apaebmet",2004,7,2976,20.7,26.1,34.2,26.756686827957,2.80277575092221,4.8,2540,40,90,99,86.4125984251968,10.7455367663951,16,2976,1010,1016,1023,1016.48219086022,2.6907283144873,3,2976,0.2,1.8,7.6,2.12100134408602,1.40583626429787,1.8,2976,0.2,2.9,11.8,3.44821908602151,2.11554078043082,2.8,2976,0,243,360,208.990255376344,110.477257581936,182,1588,111.1,31,17610.2,39391.3,55744.8,39751.3870967742,9751.76963074709,10183.35
"284","apaebmet",2004,8,2976,20.6,26.3,33.3,26.5335349462366,2.62915094531146,4.2,2709,53,89,101,86.0391288298265,10.2382593411573,17,2976,1008,1018,1023,1016.84408602151,3.14157033547968,4,2976,0.2,2,9.8,2.32688172043011,1.56006565929109,2,2976,0.2,3.2,21.2,3.77190860215054,2.30411918744733,3.2,2976,0,227.5,360,200.949596774194,109.280366338443,196,2976,221.2,31,11968,37457.2,45084.8,34881.3806451613,8568.77596662905,9627.5
"285","apaebmet",2004,9,2880,18,24.9,32,25.1496875,2.81361867683133,4.2,2597,41,87,100,84.277628032345,11.9430600530892,19,2880,992,1016,1022,1014.06145833333,5.79816004504482,6,2880,0.2,3.7,15.1,4.14541666666667,2.70125847068736,3.3,2880,0.2,5.8,21.1,6.38472222222222,3.99939591556004,4.9,2880,0,76,360,127.685069444444,112.25403718125,201,2880,185.8,30,2452.1,32100.25,40520,28963.4866666667,9804.36688274874,10928.175
"286","apaebmet",2004,10,2976,12.5,22.8,30.4,22.6557459677419,3.22273654497278,4.3,2766,31,90,100,85.9020245842372,12.9310656493984,20,2976,1005,1018,1026,1017.92708333333,4.14149638378675,6,2976,0.2,2.2,8.3,2.52190860215054,1.76727027405533,2.5,2976,0.2,3.45,12.4,3.88252688172043,2.57095289517196,3.6,2976,0,157.5,360,170.112231182796,111.770813698772,198.25,2976,88.8,31,9538.7,26211.8,34885.1,25032.2612903226,6977.75954757578,6888.05
"287","apaebmet",2004,11,2878,3.9,18.2,27.2,17.7654968728284,5.04167835402737,8.1,2733,31,87,101,82.9780461031833,14.4318802121925,18,2878,1007,1021,1035,1021.18172341904,5.04053636339144,4,2878,0.2,2.8,7.9,2.92345378735233,1.4864381556123,2,2878,0.2,4.3,15.1,4.54607366226546,2.22898174554249,3.2,2878,0,133,360,149.778665740097,114.382943536225,176,2878,116.9,30,4133.4,19011.95,26736.5,18673.78,6389.5052867371,7535.05
"288","apaebmet",2004,12,2976,-1.9,11.4,24.8,11.6304771505376,6.35895730902206,10.1,2976,19,83,100,77.6179435483871,18.4895755487049,29,2976,1009,1022,1036,1023.21202956989,6.15473335212534,8,2976,0.2,2.7,9.4,2.92889784946237,1.57413279152684,2.2,2976,0.2,4.1,14.3,4.58770161290323,2.50361418612214,3.6,2976,0,155,360,174.984543010753,130.298776623469,270,2976,88,31,2043.7,16856.9,22910.2,16738.1161290323,5980.07393773114,7584.25
"289","apaebmet",2005,1,2976,-3,13.6,24.1,13.1304435483871,5.65745679759413,8.1,2976,11,90,101,82.2832661290323,19.1973580697508,29,2976,1013,1025,1039,1024.61962365591,5.3431937064239,8,2976,0.2,2.5,10.3,2.81266801075269,1.87353011660163,2.5,2976,0.2,4,14.3,4.37631048387097,2.82168433453061,3.6,2976,0,131,360,156.923387096774,118.302586732707,202,2976,53.1,31,8074.5,20489.2,25458.7,19138.6161290323,5574.94162684518,9815.7
"290","apaebmet",2005,2,2688,2.4,14.5,24.8,13.9504836309524,4.2706552460334,5.8,2688,19,88,100,80.6372767857143,19.6771801777894,27,2688,1001,1022,1031,1021.31212797619,4.81913768884051,6,2688,0.2,2.9,8.8,2.87548363095238,1.67664781233109,2.5,2688,0.2,4.4,13.7,4.49337797619048,2.51732679144115,3.9,2688,0,140,360,161.922619047619,119.447926664735,222.25,2688,122.9,28,5742.7,24052.85,30467.5,20941.6464285714,7887.15836639873,9809.075
"291","apaebmet",2005,3,2975,2.2,16.3,26,15.4729075630252,4.87944773565305,7.5,2975,25,87,100,79.9203361344538,18.437886418176,26.5,2975,1003,1016,1025,1015.62789915966,4.14689439747736,6,2975,0.2,2.8,12.7,3.17156302521008,1.91050384985223,2.6,2975,0.2,4.4,18.5,4.93176470588235,2.88823228895712,3.9,2975,0,193,360,180.40974789916,103.342197531417,166,2975,247.7,31,4162.8,32693.2,39425.4,25991.3451612903,12098.6571933098,20373.85
"292","apaebmet",2005,4,2880,7.2,18.6,25.9,18.0969791666667,3.82397710177111,5.4,2880,21,79,99,73.6309027777778,20.4268504012734,30,2880,1008,1017,1029,1017.14618055556,5.08870457007453,8,2880,0.2,3,10,3.21409722222222,1.81576474690665,2.9,2880,0.2,4.7,14.5,5.01909722222222,2.77465515650239,4.5,2880,0,183,360,189.247916666667,108.063366632197,180,2880,243.1,30,6136.5,39622.85,44160.8,34192.2533333333,11200.1726997995,11827.325
"293","apaebmet",2005,5,2976,12.2,22.7,32.5,22.3223790322581,3.9144038925616,6,2976,25,79,98,77.3733198924731,15.9597207447975,26,2976,1005,1016,1023,1016.00134408602,3.60223994850524,5,2976,0.2,2.6,10.4,2.65688844086021,1.50725068726906,2.3,2976,0.2,4.1,15.1,4.13077956989247,2.1926999274635,3.5,2976,0,200,360,181.746303763441,113.208111268237,199,2976,45.8,31,7137.6,41199.3,45083.3,37217.3290322581,9903.91490446054,6695.99999999999
"294","apaebmet",2005,6,2880,20.3,25.9,34.1,26.16,2.56403587305616,3.7,2880,38,85,97,81.4038194444445,12.3816433217219,17,2880,1006,1015,1021,1014.96041666667,2.99933346190448,4,2880,0.2,2.5,11.3,2.85729166666667,1.89091784419754,2.6,2880,0.2,4,19.7,4.42736111111111,2.74119411388632,3.8,2880,0,170,360,166.684722222222,103.53419499754,171.25,2880,27.2,30,12149.4,38810.7,49224,36561.07,10009.7374777367,13023.7
"295","apaebmet",2005,7,2975,22,27.2,34.2,27.6469243697479,2.4606827171389,4.2,2975,45,84,96,80.9159663865546,11.0614988020929,18.5,2975,1003,1018,1022,1017.1956302521,3.05509503071462,3,2975,0.2,2.1,18.5,2.89684033613445,2.60666792144877,2.4,2975,0.2,3.4,26.6,4.46978151260504,3.69029212999483,3.4,2975,0,198,360,185.512605042017,100.579402962901,147,905,135.9,31,10655.1,34776.2,48310.5,33590.2677419355,9247.77330205807,9114.6
"296","apaebmet",2005,8,579,NA,NA,NA,NA,NA,NA,579,NA,NA,NA,NA,NA,NA,1983,1012,1017,1021,1017.24962178517,1.92013038999982,3,2239,0.2,1.6,22.2,2.01581062974542,1.64360818228806,1.9,2239,0.2,2.6,26,3.58646717284502,3.66008223214787,3.1,2239,0,216,360,202.806163465833,112.274350951434,187,474,NA,21,-4.9,22745,39259.3,20480.3714285714,14085.7046399938,25200.7
"297","apaebmet",2005,9,1111,21.7,27,33.5,26.6986498649865,2.37322299093078,3.3,1111,42,84,100,83.3060306030603,10.7103532295515,13,1111,1012,1016,1021,1015.80198019802,2.0032486326695,3,1111,0.2,3.6,8.6,3.65571557155716,2.10974598319849,3.8,1111,0.2,5.5,13.6,5.46768676867687,2.99144575535027,5.4,1111,1,267,359,237.905490549055,91.6543304222012,106.5,1111,37.8,12,10690.5,30917.55,40238.5,29707.8666666667,9403.78077393568,14640.15
"298","apaebmet",2005,10,2976,5.9,21.6,30.9,20.7757056451613,5.61447928602093,7.9,2976,22,81,101,77.2748655913979,17.4732175364003,25,2976,1004,1015,1030,1015.56787634409,5.63566938389186,7,2976,0.2,2.5,9.3,2.8073252688172,1.52651636242553,1.8,2976,0.2,4,17.5,4.38262768817204,2.37190784830126,2.725,2976,0,199,360,194.124327956989,99.3087435937544,118,2976,52.3,31,15479.4,32550.4,36823.1,29693.5838709677,6324.37106270111,10114.5
"299","apaebmet",2005,11,2880,2.3,17.7,27.1,17.1947222222222,5.22616057459334,6.8,2880,26,84.5,102,80.6697916666667,17.9616256830455,29,2880,1009,1021,1028,1019.96388888889,4.16189584460523,5,2880,0.2,2.7,9.8,2.963125,1.61522840208424,2.3,2880,0.2,4.3,17,4.57211805555556,2.50835153005993,3.7,2880,0,132,360,173.770833333333,125.129774593233,246.25,2880,94.7,30,4558.3,24376.25,30259.7,22259.2133333333,5791.67092063418,5448.925
"300","apaebmet",2005,12,2976,-0.6,11.3,23.6,11.5058467741935,5.03047112637779,8.1,2976,24,84,101,78.7211021505376,18.7852124462408,27,2976,1006,1021,1029,1020.30544354839,5.25751488773882,7,2976,0.2,2.8,11.4,2.97896505376344,1.62749311915473,2.1,2976,0.2,4.4,14.9,4.63077956989247,2.4833902410909,3.4,2976,0,195,360,190.457325268817,126.797119205285,262,2976,125.8,31,2978,19479.4,25119.8,17412.8,7456.97854138435,14575.1
"301","apaebmet",2006,1,2976,-0.9,15.4,22.6,14.0198252688172,5.04243806273489,8.125,2976,18,89,102,80.9425403225806,20.6923781233993,32,2976,1007,1020,1035,1021.21875,5.78530720115749,8,2976,0.2,2.8,11,3.00369623655914,1.75969815415803,2.5,2976,0.2,4.3,16.7,4.69381720430107,2.73389470308988,3.9,2976,0,174.5,360,191.846438172043,105.111895275871,194,2976,57.1,31,4604.5,23097.4,27218.4,19376.0967741935,6939.70331760102,11995.2
"302","apaebmet",2006,2,2688,-0.4,13.5,24.9,12.7017857142857,5.16008381619565,7.5,2688,21,84,102,77.7756696428571,21.9787911504968,36,2688,1005,1022,1030,1021.23586309524,5.55067539309818,6,2688,0.2,2.7,10.4,2.91941964285714,1.65326602076271,2.6,2688,0.2,4.3,19.6,4.6046130952381,2.59666291222489,4.1,2688,0,188,360,188.521577380952,112.243734918591,200,2688,113.2,28,2543.3,24185.2,30877.3,20945.9357142857,7724.92704518898,10516.175
"303","apaebmet",2006,3,1914,3.8,17,36,16.0449843260188,4.50839588780721,6.1,1914,15,83,102,76.3218390804598,21.8714075192283,33,1914,1013,1022,1029,1021.82079414838,3.4869281991488,5,243,NA,NA,NA,NA,NA,NA,243,NA,NA,NA,NA,NA,NA,243,NA,NA,NA,NA,NA,NA,1914,0,21,6665.9,29153.5,54213.5,34048.0476190476,14048.1234423897,26543.9
"304","apaebmet",2006,4,2876,10.9,22,29.8,21.6546244784423,3.45834886436145,4.7,2876,16,81,101,76.5281641168289,16.7171322556965,24,2875,1007,1016,1027,1016.68626086957,3.9150250029796,6,1591,0,3.6,8.9,3.78265241986172,1.97948300327235,3.2,1591,0,5.4,13.9,5.5514770584538,2.78282626672285,4.2,1591,0,235,360,219.977372721559,77.2955985200797,64,2876,31.9,30,21200.6,48376.6,56635.1,46130.4233333333,8181.55884007288,10032.625
"305","apaebmet",2006,5,2976,14.5,23.85,31.9,23.5954301075269,3.56553708988072,4.825,2976,25,76,98,74.2792338709677,16.1161222753602,24,2976,1009,1015,1022,1014.97009408602,2.69879141164741,4,2976,0,2.9,8,3.24038978494624,1.6689699080268,2.7,2976,0,4.5,16,4.80981182795699,2.39038785887142,3.9,2976,0,244,360,224.11189516129,88.0150936996705,75.25,2976,88.5,31,32720.6,55713.4,62658.5,53366.0580645161,7818.94582723162,6765.89999999999
"306","apaebmet",2006,6,2867,18.7,26.1,33.2,26.1678060690617,2.89683264841843,4.65,2867,34,77,97,76.2364841297524,13.0635846863314,21,2867,1002,1015,1021,1014.63027554935,3.52273505613973,6,2866,0,2.3,9.3,2.74043963712491,1.70812278149704,2.3,2867,0,3.6,16.3,4.15333100802232,2.46553604725316,3.5,2867,0,205,360,188.690617370073,108.200549396039,179.5,2867,107.5,30,6340.2,54443.2,61078.4,48993.1866666667,12576.4855256843,9544.85
"307","apaebmet",2006,7,2976,20.3,27.4,33.6,27.2774193548387,2.81275382156368,4.8,2976,32,77,95,75.5157930107527,12.203639872072,20,2976,1011,1018,1023,1017.62130376344,2.21136934962703,3,2966,0,1.9,7,2.3155765340526,1.41371269947966,1.9,2976,0,2.9,12.6,3.55389784946237,2.09207345862531,3.1,2976,0,157,360,162.898185483871,110.753738712168,207,2976,45,31,20886.8,43276.7,58568.8,40950.0580645161,11760.9110257886,21688.45
"308","apaebmet",2006,8,2974,22.1,26.9,34.2,27.4652320107599,2.69468244597878,4.8,2974,46,81,97,78.5891055817081,11.5035478670151,20,2974,1007,1015,1022,1015.23873570948,2.64241182973507,3,2959,0,1.8,7.7,2.10763771544441,1.26495214035436,1.6,2974,0,2.8,13.8,3.33335574983188,1.92730753441046,2.5,2974,0,213,360,182.912239408204,119.568976014073,234,2974,206.2,31,0,33642.1,56868.5,29882.4225806452,17938.6986625138,28307.45
